File,N,Algorithm,Result,Time(s)
dataset/Test-1.txt,152111,A2,1,0.000063000
dataset/Test-1.txt,152111,A3,1,0.000000000
dataset/Test-1.txt,152111,A4,1,0.000000000
dataset/Test-1.txt,111871,A1,1,0.000093000
dataset/Test-1.txt,111871,A2,1,0.000047000
dataset/Test-1.txt,111871,A3,1,0.000000000
dataset/Test-1.txt,111871,A4,1,0.000000000
dataset/Test-1.txt,266899,A1,1,0.000222000
dataset/Test-1.txt,266899,A2,1,0.000110000
dataset/Test-1.txt,266899,A3,1,0.000000000
dataset/Test-1.txt,266899,A4,1,0.000001000
dataset/Test-1.txt,140759,A1,1,0.000116000
dataset/Test-1.txt,140759,A2,1,0.000059000
dataset/Test-1.txt,140759,A3,1,0.000000000
dataset/Test-1.txt,140759,A4,1,0.000000000
dataset/Test-1.txt,7187,A1,1,0.000007000
dataset/Test-1.txt,7187,A2,1,0.000003000
dataset/Test-1.txt,7187,A3,1,0.000000000
dataset/Test-1.txt,7187,A4,1,0.000001000
dataset/Test-1.txt,317609,A1,1,0.000262000
dataset/Test-1.txt,317609,A2,1,0.000132000
dataset/Test-1.txt,317609,A3,1,0.000002000
dataset/Test-1.txt,317609,A4,1,0.000001000
dataset/Test-1.txt,208807,A1,1,0.000172000
dataset/Test-1.txt,208807,A2,1,0.000087000
dataset/Test-1.txt,208807,A3,1,0.000000000
dataset/Test-1.txt,208807,A4,1,0.000001000
dataset/Test-1.txt,241739,A1,1,0.000201000
dataset/Test-1.txt,241739,A2,1,0.000100000
dataset/Test-1.txt,241739,A3,1,0.000000000
dataset/Test-1.txt,241739,A4,1,0.000001000
dataset/Test-1.txt,288283,A1,1,0.000238000
dataset/Test-1.txt,288283,A2,1,0.000122000
dataset/Test-1.txt,288283,A3,1,0.000001000
dataset/Test-1.txt,288283,A4,1,0.000001000
dataset/Test-1.txt,74027,A1,1,0.000064000
dataset/Test-1.txt,74027,A2,1,0.000031000
dataset/Test-1.txt,74027,A3,1,0.000002000
dataset/Test-1.txt,74027,A4,1,0.000000000
dataset/Test-1.txt,122453,A1,1,0.000101000
dataset/Test-1.txt,122453,A2,1,0.000052000
dataset/Test-1.txt,122453,A3,1,0.000000000
dataset/Test-1.txt,122453,A4,1,0.000001000
dataset/Test-1.txt,95317,A1,1,0.000079000
dataset/Test-1.txt,95317,A2,1,0.000039000
dataset/Test-1.txt,95317,A3,1,0.000000000
dataset/Test-1.txt,95317,A4,1,0.000001000
dataset/Test-1.txt,218971,A1,1,0.000189000
dataset/Test-1.txt,218971,A2,1,0.000090000
dataset/Test-1.txt,218971,A3,1,0.000000000
dataset/Test-1.txt,218971,A4,1,0.000000000
dataset/Test-1.txt,262949,A1,1,0.000223000
dataset/Test-1.txt,262949,A2,1,0.000118000
dataset/Test-1.txt,262949,A3,1,0.000001000
dataset/Test-1.txt,262949,A4,1,0.000000000
dataset/Test-1.txt,234653,A1,1,0.000195000
dataset/Test-1.txt,234653,A2,1,0.000093000
dataset/Test-1.txt,234653,A3,1,0.000000000
dataset/Test-1.txt,234653,A4,1,0.000000000
dataset/Test-1.txt,112153,A1,1,0.000086000
dataset/Test-1.txt,112153,A2,1,0.000043000
dataset/Test-1.txt,112153,A3,1,0.000001000
dataset/Test-1.txt,112153,A4,1,0.000001000
dataset/Test-1.txt,206597,A1,1,0.000158000
dataset/Test-1.txt,206597,A2,1,0.000079000
dataset/Test-1.txt,206597,A3,1,0.000000000
dataset/Test-1.txt,206597,A4,1,0.000001000
dataset/Test-1.txt,44753,A1,1,0.000034000
dataset/Test-1.txt,44753,A2,1,0.000017000
